LODZ         ŠIFRANT DRŽAV   
630          VENEZUELA, BOLIVARSKA REPUBLIKA
631          SURINAM                            
632          FRANCOSKA GVAJANA                  
633          FALKLANDSKI OTOKI MALVINI          
700          BREZ DRŽAVLJANSTVA                 
701          ANTARKTIKA                         
702          ARUBA                              
703          BRITANSKO OZEMLJE INDIJKEGA OCEANA 
704          BURKINA FASO                       
705          BOUVETOV OTOK                      
707          FRANCOSKO JUŽNO OZEMLJE            
708          HEARDOV OTOK IN MCDONALDOVI OTOKI  
709          JOHNSTON                           
711          MONTSERRAT                         
712          NEVTRALNA ZONA                     
713          PITCAIRN                           
714          SVALBARD IN JAN MAYEN              
715          CURACAO                            
716          SINT MAARTEN                       
717          JERSEY                             
718          GUERNSEY                           
719          SAINT MARTIN                       
720          SAINT PIERRE AND MIQUELON          
721          SAINT BARTHELEMY                   
722          WALIS IN FUTUNA                    
723          OTOK MAN                           
724          PALAU                              
725          MARSHALLOVI OTOKI                  
726          MIKRONEZIJA                        
727          SEVERNI MARIANSKI OTOKI            
728          ZUNANJI OTOKI - UNITED STATES      
729          ALANDSKO OTOÈJE                    
730          TURKS IN CAICOS OTOKI              
996          UNMIK - SAMO ZA POTNE LISTE        
997          IZMIŠLJENA DRŽAVA                  
998          ZDRUŽENI NARODI                    
999          NEZNANO                             
